date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:21:54	83785/83785	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202015%2020:37:04%20GMT	http://byrushan.com/projects/ma/1-5-1/jquery/	//Mac/Home/Documents/contabilidad/steal/graph/byrushan.com/projects/ma/1-5-1/jquery/index.html	(from )
21:21:54	1515/1515	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Aug%202016%2000:29:50%20GMT	http://byrushan.com/robots.txt		(from )
21:21:55	11628/11628	---MCZ	200	added ('OK')	text/css	date:Fri,%2022%20May%202015%2000:16:16%20GMT	http://byrushan.com/projects/ma/1-5-1/jquery/vendors/bower_components/fullcalendar/dist/fullcalendar.min.css	//Mac/Home/Documents/contabilidad/steal/graph/byrushan.com/projects/ma/1-5-1/jquery/vendors/bower_components/fullcalendar/dist/fullcalendar.min.css	(from http://byrushan.com/projects/ma/1-5-1/jquery/)
21:21:55	55789/55789	---MCZ	200	added ('OK')	text/css	date:Mon,%2015%20Jun%202015%2005:39:16%20GMT	http://byrushan.com/projects/ma/1-5-1/jquery/vendors/bower_components/animate.css/animate.min.css	//Mac/Home/Documents/contabilidad/steal/graph/byrushan.com/projects/ma/1-5-1/jquery/vendors/bower_components/animate.css/animate.min.css	(from http://byrushan.com/projects/ma/1-5-1/jquery/)
21:21:55	11086/11086	---MCZ	200	added ('OK')	text/css	date:Sun,%2021%20Jun%202015%2006:22:02%20GMT	http://byrushan.com/projects/ma/1-5-1/jquery/vendors/bower_components/bootstrap-sweetalert/lib/sweet-alert.css	//Mac/Home/Documents/contabilidad/steal/graph/byrushan.com/projects/ma/1-5-1/jquery/vendors/bower_components/bootstrap-sweetalert/lib/sweet-alert.css	(from http://byrushan.com/projects/ma/1-5-1/jquery/)
21:21:56	68239/68239	---MCZ	200	added ('OK')	text/css	date:Mon,%2013%20Jul%202015%2005:08:32%20GMT	http://byrushan.com/projects/ma/1-5-1/jquery/vendors/bower_components/material-design-iconic-font/dist/css/material-design-iconic-font.min.css	//Mac/Home/Documents/contabilidad/steal/graph/byrushan.com/projects/ma/1-5-1/jquery/vendors/bower_components/material-design-iconic-font/dist/css/material-design-iconic-font.min.css	(from http://byrushan.com/projects/ma/1-5-1/jquery/)
21:21:59	47979/47979	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Aug%202015%2021:05:53%20GMT	http://byrushan.com/projects/ma/1-5-1/jquery/css/app.min.2.css	//Mac/Home/Documents/contabilidad/steal/graph/byrushan.com/projects/ma/1-5-1/jquery/css/app.min.2.css	(from http://byrushan.com/projects/ma/1-5-1/jquery/)
21:21:59	343631/343631	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Aug%202015%2021:05:56%20GMT	http://byrushan.com/projects/ma/1-5-1/jquery/css/app.min.1.css	//Mac/Home/Documents/contabilidad/steal/graph/byrushan.com/projects/ma/1-5-1/jquery/css/app.min.1.css	(from http://byrushan.com/projects/ma/1-5-1/jquery/)
21:21:59	83785/83785	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202015%2020:37:04%20GMT	http://byrushan.com/projects/ma/1-5-1/jquery/index.html	//Mac/Home/Documents/contabilidad/steal/graph/byrushan.com/projects/ma/1-5-1/jquery/index-2.html	(from http://byrushan.com/projects/ma/1-5-1/jquery/)
21:22:00	18245/18245	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202014%2004:54:06%20GMT	http://byrushan.com/projects/ma/1-5-1/jquery/img/profile-pics/1.jpg	//Mac/Home/Documents/contabilidad/steal/graph/byrushan.com/projects/ma/1-5-1/jquery/img/profile-pics/1.jpg	(from http://byrushan.com/projects/ma/1-5-1/jquery/)
